了	a
的	e
是	i
我	o
不	u
收	qe
一个	fwi
明天	jna
今天	wna
什么	wti
如果	cnje
时候	jjwa
今天	wfca

# 为避开结构重码而设
呗	dkho	# 员 dkhbo
邑	dkja	# 吧 dkjba
叭	dkka	# 只 dkkba
㕲	dkse	# 呆 dksme
晖	jmve	# 晕 jmvre 
弔	kgli	# 引 kglgi
棗	smho	# 棘 smhsh
峯	vkte	# 峰 vktjf

# 空格简
为什么	n 
需要	p
怎么	y
变化	bc
受害者	bd
虚拟	bh
恋爱	bj
爲了你	bl
馬上	bm
双方	cc
那么	cf
对于	cj
欢迎	cl
种类	ch
观点	cv
难道	cw
鸡蛋	cx
謡言	db
誘惑	dc
出去	dd
語言	df
謹慎	dg
詢問	dh
改变	dj
這個	dl
註定	dn
皮肤	dp
設置	dq
长期	dr
話題	ds
計算	dt
證明	dv
詳細	dx
許多	dy
一点儿	fb
违法	fc
一百分	fg
远远	fl
乃至	fn
一部分	fr
喜欢	fs
兩個	ft
反正	gc
還是	gf
厕所	gh
羅馬	gl
顾客	gr
逃避	gs
历史	gw
赚钱	hb
同学	hf
删除	hh
忽略	hk
典型	hm
央视	hp
内容	hw
巴黎	jb
过程	jc
·	jg
影响	jl
明白	jn
版本	jp
显示	jv
工作日	jw
昨天	jy
早上	jz
成功	kc
　	kg
团队	kj
具体	kk
里面	kl
圍觀	km
因为	kp
重要	kq
图片	kt
下来	kx
成年人	ky
预警	lh
〔〕	lj
饮食	lk
就是	ll
非主流	ln
毫无	lr
幼儿	lw
临时	ly
还是	mb
负责	mh
危险	mk
聯繫	ml
冤枉	mm
運動	mr
农村	mt
联系	mx
胜利	nc
缺点	nf
脾气	nj
脂肪	nl
脆弱	nm
朋友	nn
然后	np
肌肉	nq
服务	nr
能力	ns
脖子	nt
肚子	nv
腾讯	nx
需要	pf
震惊	ph
露出	pn
——	pz
发现	qc
乐队	ql
留学	qm
收入	qt
玩家	rf
默默	rh
环境	rm
现在	rv
班级	rx
憑藉	sb
专业	sc
冲突	sd
房子	sh
……	sl
至少	ss
斗争	st
凌晨	sv
补充	tb
被动	td
裤子	tg
尝试	ts
邮件	ty
反正	vc
谨慎	vg
训练	vn
设计	vq
说明	vx
许多	vy
但是	wj
伴随	wx
作为	wy
着急	xg
差距	xm
美国	xp
羡慕	xs
善良	xx
怎么	yb
醉了	yl
舞台	ym
酸痛	yn
气质	yq
午餐	yt
」	yy
「	yz
