㐀	卝 1
㐁	1 囗 人
㐂	七 七 七
㐃	6 4 2
㐄	㐄
㐅	乂
㐆	反字框 彐 5
㐇	九 5
㐈	入 5
㐉	丁 5
㐊	士 5
㐋	土 5
㐌	卧人 也
㐍	爫 5
㐎	文 5
㐏	1 五无横 5
㐐	女 又 5
㐑	夊 冬字底 5
㐒	刀 口 5
㐓	丁 口 5
㐔	享字头 5
㐕	由 5
㐖	士 口 6
㐗	耂 匕 5
㐘	米 5
㐙	1 口 䒑 5
㐚	1 五无横 口 5
㐛	亻 左字框 口 5
㐜	1 氺 4 九
㐝	扌 勹 口 5
㐞	其 5
㐟	非 5
㐠	爫 子 6 5
㐡	九 而 大
㐢	氵 爫 子 5
㐣	广 車 5
㐤	九 十 具字头 八
㐥	金 且 力 5
㐦	臼裂 与无横 丄 八 手 5
㐧	4 5 5 3
㐨	予 予
㐩	二 乔字底 二 乔字底
㐪	亠 䶹 4
㐫	文 凵
㐬	亠 厶 荒字底
㐭	亠 囗 口
㐮	亠 八 寒字腰 衣省
㐯	享字头 口 禾 日
㐰	亻 口
㐱	全字头 彡
㐲	亻 大
㐳	亻 兀
㐴	亻 夕
㐵	亻 1 于无横
㐶	亻 巳
㐷	亻 马
㐸	亻 欠
㐹	亻 气
㐺	亻 亻 人
㐻	亻 冂 人
㐼	亻 3 廾
㐽	亻 风省 乂
㐾	亻 1 兀
㐿	亻 手
㑀	亻 大 4
㑁	亻 屮 凵
㑂	亻 1 冂 人
㑃	亻 幺 力
㑄	亻 母
㑅	亻 卧人 卢字头 1
㑆	亻 口 见字底
㑇	亻 尔字头 彐
㑈	亻 东二 小
㑉	亻 风省 1 夕
㑊	亻 亦
㑋	亻 曲
㑌	亻 匚 王
㑍	亻 丰 木无十
㑎	亻 巛 山
㑏	亻 宀 寸
㑐	亻 上 小
㑑	亻 自
㑒	合 人
㑓	亻 厶 左字框 又
㑔	亻 页
㑕	亻 山 夕
㑖	亻 亻 口 2
㑗	亻 身
㑘	亻 戈 廾
㑙	亻 耳 6
㑚	亻 5 夫三 阝
㑛	亻 木框 口
㑜	亻 扌 斤
㑝	亻 王 廾
㑞	亻 火 廾
㑟	亻 丘无横 1 八
㑠	亻 临字旁 又 土
㑡	亻 彐 瓜字心 卩
㑢	亻 土 厶 卩
㑣	亻 木 木
㑤	亻 艹 田
㑥	亻 日 勹 横两撇
㑦	亻 户 犬
㑧	亻 禾 子
㑨	亻 口 矢
㑩	亻 罒 夕
㑪	亻 文 乔字底 二
㑫	亻 全字头 4 5 心
㑬	亻 女 古
㑭	亻 田 丌
㑮	亻 冖 車
㑯	亻 頁
㑰	亻 彑 豕省
㑱	亻 予 3 木
㑲	亻 十 冂 南字心
㑳	亻 勹 䶹 勹 䶹
㑴	亻 彐 冖 巾 又
㑵	亻 疒 矢
㑶	亻 气 米
㑷	亻 厶 青字底 匕 匕
㑸	亻 古 丁 口
㑹	全字头 1 由 日
㑺	亻 隹 乃
㑻	亻 宀 心 3 山
㑼	亻 田 夊 口
㑽	亻 尚头 土
㑾	亻 然左角 言
㑿	亻 巛 日 木
㒀	亻 亠 丷 冂 古
㒁	亻 囗 土 南字心
㒂	亻 艹 耂 日
㒃	亻 弋 二 貝
㒄	亻 然左角 犬 灬
㒅	亻 亠 夕 夕 衣省
㒆	亻 合 习 习
㒇	亻 卧人 卌 1 灬
㒈	亻 5 耳 攵
㒉	亻 尚头 木
㒊	亻 刀 4 刀 4 止 止
㒋	亻 其 斤
㒌	亻 火 火 冖 几
㒍	亻 厶 厶 厶 糸
㒎	亻 1 大 非
㒏	亻 宀 寒字腰 八 冬字底
㒐	亻 竹头 勹 日
㒑	亻 匚 氵 隹
㒒	亻 业 羊 木无十
㒓	亻 土 羊 辶
㒔	亻 罒 勹 虫
㒕	亻 亠 丝左角 3 隹
㒖	亻 艹 禺
㒗	亻 卄 二 冖 至
㒘	亻 臣 又 立
㒙	亻 糹 白 巾
㒚	亻 爫 工 彐 心
㒛	亻 习 习 隹
㒜	亻 臼裂 与无横 丄 八
㒝	亻 艹 罒 戊 4
㒞	亻 山 隹 雋字底
㒟	亻 亠 馬 衣省
